"","V1","V2","V3","V4","V5","V6","1","2","3","4","5","6","7","8","9","train_data$V37"
"1",1,7,46,9,51,16,-24.8306059683585,-0.818337635523511,-5.95068510371714,0.794045631312834,-28.1099707572709,-9.87939623618106,-6.2750426119798,-3.16599601287681,3.36728207994875,"1"
"2",1,7,46,9,51,16,-24.8245939825652,-0.814962235982441,-5.93776231441114,0.793821177408256,-28.1070160929933,-9.88161340290376,-6.27365578219143,-3.16186362333381,3.36726584347437,"0"
"3",0,7,44,1,51,16,-24.3881149747264,-0.861876268649374,-5.99391146948026,0.922143528132016,-26.8073067309511,-8.43682250747346,-1.03405500167389,-4.9853059525089,3.61435200525538,"1"
"4",1,7,46,9,51,16,-24.8237867196691,-0.815054534622406,-5.9377740193265,0.793814217220178,-28.1072310647059,-9.88155596853424,-6.27367595854146,-3.16184889567504,3.36726921780453,"0"
"5",1,7,46,9,51,16,-24.8247492816417,-0.819099512499326,-5.95071604928606,0.793838940456261,-28.1069127050982,-9.88161081490917,-6.27519333875905,-3.16611882506905,3.36747600219181,"0"
"6",1,7,46,9,51,16,-24.8234697604469,-0.815095985114291,-5.93778138637322,0.793814602902206,-28.107251702741,-9.88170785551052,-6.27366813270139,-3.16185011400863,3.36723797820238,"0"
"7",1,7,46,9,51,16,-24.825078475319,-0.814908277322779,-5.93775861267905,0.793822376251892,-28.1066925296315,-9.88183453873238,-6.27364751414919,-3.16188679441914,3.36726467589062,"0"
"8",1,7,46,9,51,16,-24.8241791457003,-0.815003623070727,-5.93777039944409,0.793822200575814,-28.1070016254824,-9.88153734372677,-6.27368552548497,-3.16184277533955,3.36727657744682,"1"
"9",1,7,46,9,51,16,-24.8272710757095,-0.822940560116752,-5.9636280274046,0.793890348511695,-28.1066443436649,-9.88095554204164,-6.27671748172396,-3.17036166483581,3.36788531036396,"0"
"10",1,7,46,9,51,16,-24.8282148514528,-0.823508799899735,-5.9631208475097,0.794353476745062,-28.1405826353126,-9.92826020725782,-6.27363141029743,-3.17362583362849,3.4027222760547,"0"
"11",0,7,45,6,51,16,-24.4971896082384,-0.850014731904889,-5.94993580850382,0.840814034300281,-27.4168222536573,-9.28670599621317,-4.26524882613272,-3.85613346096388,3.46666244119024,"1"
"12",1,7,46,9,51,16,-24.8261049838816,-0.8147946958453,-5.93774859509833,0.793863032980947,-28.1063444420063,-9.88190150526644,-6.27360109408539,-3.16186927795446,3.3669006612183,"1"
